order_id,order_placed_at,restaurant_id,courier_id,delivery_neighborhood,basket_value_euros,delivery_fee_euros,commission_euros,prep_time_minutes,courier_wait_minutes,travel_time_minutes,is_raining,order_status
GLV_000001,2026-06-03 19:37:00,REST_043,COUR_023,Sarrià,63.41,4.32,13.95,24,10,19,0,Delivered
GLV_000002,2026-06-03 13:43:00,REST_015,COUR_079,Poblenou,22.91,2.75,5.04,27,16,13,0,Delivered
GLV_000003,2026-06-02 13:32:00,REST_020,COUR_008,Gràcia,42.65,3.68,9.38,13,21,21,0,Delivered
GLV_000004,2026-06-04 21:57:00,REST_044,COUR_099,Poblenou,32.48,4.18,7.15,25,5,17,0,Delivered
GLV_000005,2026-06-07 21:02:00,REST_030,COUR_009,Poblenou,53.55,1.6,11.78,26,4,8,0,Delivered
GLV_000006,2026-06-07 11:01:00,REST_041,COUR_115,Sants,57.51,2.04,12.65,11,11,10,1,Delivered
GLV_000007,2026-06-06 10:03:00,REST_009,COUR_066,Gràcia,52.37,4.3,11.52,24,0,9,0,Delivered
GLV_000008,2026-06-02 08:37:00,REST_044,COUR_029,Eixample,22.45,4.07,4.94,23,3,11,0,Delivered
GLV_000009,2026-06-03 15:49:00,REST_044,COUR_040,Gràcia,51.64,1.88,11.36,24,4,15,0,Delivered
GLV_000010,2026-06-04 22:19:00,REST_026,COUR_086,Sarrià,54.34,1.6,11.95,17,10,10,0,Delivered
GLV_000011,2026-06-05 14:49:00,REST_047,COUR_140,Sarrià,59.96,4.14,13.19,28,19,20,0,Delivered
GLV_000012,2026-06-07 13:34:00,REST_023,COUR_058,Poblenou,54.58,3.73,12.01,19,17,26,0,Delivered
GLV_000013,2026-06-01 13:26:00,REST_037,COUR_027,Eixample,53.03,3.82,11.67,33,17,26,0,Delivered
GLV_000014,2026-06-06 18:21:00,REST_043,COUR_093,Sarrià,63.36,3.98,13.94,23,5,9,0,Delivered
GLV_000015,2026-06-01 07:28:00,REST_009,COUR_009,Sarrià,42.63,1.78,9.38,20,6,16,0,Delivered
GLV_000016,2026-06-02 08:07:00,REST_038,COUR_101,Gràcia,42.01,2.79,9.24,27,1,16,0,Delivered
GLV_000017,2026-06-07 07:47:00,REST_023,COUR_096,Gràcia,30.85,1.85,6.79,19,4,16,1,Delivered
GLV_000018,2026-06-05 18:49:00,REST_029,COUR_140,Eixample,35.53,3.52,7.82,22,5,11,0,Delivered
GLV_000019,2026-06-05 10:09:00,REST_022,COUR_113,Sarrià,40.17,3.73,8.84,14,5,17,0,Delivered
GLV_000020,2026-06-02 18:20:00,REST_030,COUR_111,Poblenou,55.24,3.1,12.15,22,6,17,0,Delivered
GLV_000021,2026-06-02 21:41:00,REST_007,COUR_010,Sants,21.24,2.9,4.67,28,7,16,0,Delivered
GLV_000022,2026-06-01 07:59:00,REST_020,COUR_004,Gràcia,21.41,3.66,4.71,11,3,16,0,Delivered
GLV_000023,2026-06-07 17:44:00,REST_018,COUR_140,Sarrià,43.94,2.3,9.67,15,19,11,1,Delivered
GLV_000024,2026-06-01 11:17:00,REST_028,COUR_075,Gòtic,26.18,2.51,5.76,17,5,11,0,Delivered
GLV_000025,2026-06-05 09:41:00,REST_008,COUR_128,Gòtic,36.08,2.4,7.94,24,2,11,0,Delivered
GLV_000026,2026-06-06 08:09:00,REST_013,COUR_089,Gràcia,17.96,4.45,3.95,20,7,15,1,Delivered
GLV_000027,2026-06-07 08:55:00,REST_029,COUR_069,Sants,28.6,2.96,6.29,23,2,8,0,Delivered
GLV_000028,2026-06-06 07:20:00,REST_035,COUR_066,Gòtic,18.39,3.04,4.05,16,10,8,1,Delivered
GLV_000029,2026-06-02 09:46:00,REST_009,COUR_097,Gràcia,20.24,2.55,4.45,21,6,17,0,Delivered
GLV_000030,2026-06-02 19:07:00,REST_004,COUR_112,Eixample,42.58,1.82,9.37,23,16,19,0,Delivered
GLV_000031,2026-06-06 10:38:00,REST_004,COUR_036,Sarrià,18.3,2.67,4.03,19,3,9,0,Delivered
GLV_000032,2026-06-01 13:06:00,REST_045,COUR_020,Sants,56.76,2.77,12.49,14,18,14,0,Delivered
GLV_000033,2026-06-01 07:56:00,REST_007,COUR_123,Sants,62.83,2.92,13.82,23,5,14,0,Delivered
GLV_000034,2026-06-02 14:32:00,REST_029,COUR_133,Gràcia,30.62,2.99,6.74,30,17,13,0,Delivered
GLV_000035,2026-06-05 08:12:00,REST_041,COUR_017,Gòtic,13.45,2.36,2.96,9,8,10,0,Delivered
GLV_000036,2026-06-01 19:59:00,REST_016,COUR_117,Sants,16.79,2.82,3.69,18,11,16,0,Delivered
GLV_000037,2026-06-02 18:47:00,REST_005,COUR_065,Eixample,31.04,2.67,6.83,17,5,10,0,Delivered
GLV_000038,2026-06-06 10:27:00,REST_007,COUR_121,Sants,25.99,2.48,5.72,26,8,15,0,Delivered
GLV_000039,2026-06-07 22:44:00,REST_046,COUR_029,Sants,17.37,1.99,3.82,18,5,11,0,Delivered
GLV_000040,2026-06-06 20:51:00,REST_003,COUR_026,Eixample,44.7,2.64,9.83,23,11,11,1,Delivered
GLV_000041,2026-06-07 06:00:00,REST_018,COUR_114,Eixample,13.97,2.87,3.07,16,6,10,0,Delivered
GLV_000042,2026-06-02 14:20:00,REST_022,COUR_137,Gòtic,20.71,3.99,4.56,19,9,10,0,Delivered
GLV_000043,2026-06-04 08:20:00,REST_030,COUR_021,Sants,14.49,1.73,3.19,21,13,14,1,Delivered
GLV_000044,2026-06-01 14:24:00,REST_004,COUR_062,Sarrià,51.07,3.08,11.24,24,11,16,0,Delivered
GLV_000045,2026-06-06 13:41:00,REST_002,COUR_035,Sants,42.38,3.29,9.32,15,12,12,0,Delivered
GLV_000046,2026-06-04 07:49:00,REST_017,COUR_083,Sarrià,17.58,2.56,3.87,21,3,13,0,Delivered
GLV_000047,2026-06-07 19:41:00,REST_049,COUR_089,Sarrià,21.6,3.97,4.75,17,18,18,0,Delivered
GLV_000048,2026-06-04 22:57:00,REST_035,COUR_128,Sants,62.61,3.28,13.77,20,5,15,0,Delivered
GLV_000049,2026-06-01 08:18:00,REST_036,COUR_048,Eixample,22.94,3.03,5.05,24,1,12,0,Delivered
GLV_000050,2026-06-03 20:22:00,REST_033,COUR_061,Gòtic,33.61,4.21,7.39,21,16,11,0,Delivered
GLV_000051,2026-06-02 06:16:00,REST_014,COUR_102,Gòtic,52.49,4.2,11.55,26,20,15,1,Delivered
GLV_000052,2026-06-06 20:27:00,REST_023,COUR_122,Gràcia,32.51,2.35,7.15,21,8,18,0,Delivered
GLV_000053,2026-06-07 00:29:00,REST_031,COUR_063,Sants,27.79,1.63,6.11,24,4,8,0,Delivered
GLV_000054,2026-06-06 23:51:00,REST_009,COUR_001,Eixample,20.78,3.7,4.57,21,0,15,0,Delivered
GLV_000055,2026-06-05 09:12:00,REST_024,COUR_022,Eixample,55.02,2.18,12.1,17,2,9,0,Delivered
GLV_000056,2026-06-03 18:44:00,REST_001,COUR_068,Poblenou,44.39,2.11,9.77,25,2,13,0,Delivered
GLV_000057,2026-06-07 18:29:00,REST_049,COUR_073,Sarrià,57.1,4.37,12.56,14,7,13,1,Delivered
GLV_000058,2026-06-07 11:29:00,REST_042,COUR_023,Poblenou,39.28,3.29,8.64,11,0,9,0,Delivered
GLV_000059,2026-06-03 18:02:00,REST_016,COUR_144,Eixample,20.54,2.78,4.52,10,16,17,1,Delivered
GLV_000060,2026-06-01 12:55:00,REST_049,COUR_057,Gòtic,36.32,3.75,7.99,11,6,13,1,Delivered
GLV_000061,2026-06-03 07:17:00,REST_025,COUR_116,Gràcia,24.43,2.99,5.37,9,3,9,1,Delivered
GLV_000062,2026-06-06 18:07:00,REST_034,COUR_074,Gràcia,59.64,2.01,13.12,23,6,12,0,Delivered
